cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
SU,MOW,AER,,,SU1132,05.03.2025 19:05,,,,KNOR,22587.0,22587.0,477.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,K,,aeroflot.ru
SU,MOW,DXB,,,SU0113,05.03.2025 18:15,,,,JALLSU,33716.0,33716.0,421.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,AER,,J,,aeroflot.ru
SU,MOW,DXB,,,SU6945,05.03.2025 18:50,,,,KALLSU,31486.0,31486.0,421.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,AER,,K,,aeroflot.ru
SU,MOW,DXB,,,SU1132,05.03.2025 19:05,,,,KNOR,43028.0,43028.0,898.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,AER,,K,,aeroflot.ru
SU,AER,MOW,,,SU1071,05.03.2025 18:25,,,,QNOR,14877.0,14877.0,477.0,RUB,OW,,,,,,,,,05.03.2025 13:01,,,,,Q,,aeroflot.ru
SU,AER,MOW,,,SU1127,05.03.2025 19:30,,,,RNOR,8277.0,8277.0,477.0,RUB,OW,,,,,,,,,05.03.2025 13:01,,,,,R,,aeroflot.ru
SU,AER,MOW,,,SU1141,05.03.2025 21:20,,,,QNOR,14877.0,14877.0,477.0,RUB,OW,,,,,,,,,05.03.2025 13:01,,,,,Q,,aeroflot.ru
SU,DXB,MOW,,,SU0527,05.03.2025 19:40,,,,RNOSL,28865.0,28865.0,3875.0,RUB,OW,,,,,,,,,05.03.2025 13:01,,,,,R,,aeroflot.ru
SU,MOW,AER,,,SU1152,06.03.2025 06:20,,,,QNOR,14877.0,14877.0,477.0,RUB,OW,,,,,,,,,05.03.2025 13:01,,,,,Q,,aeroflot.ru
SU,MOW,AER,,,SU1122,06.03.2025 07:30,,,,TNOR,13077.0,13077.0,477.0,RUB,OW,,,,,,,,,05.03.2025 13:01,,,,,T,,aeroflot.ru
