cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
D2,MOW,UCT,,,D2333,06.03.2025 12:40,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,08.03.2025 12:40,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,11.03.2025 12:40,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,15.03.2025 12:40,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,16.03.2025 12:40,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,18.03.2025 12:40,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,20.03.2025 12:40,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,22.03.2025 12:40,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,25.03.2025 12:40,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,27.03.2025 12:40,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,29.03.2025 12:40,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,30.03.2025 12:40,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,01.04.2025 12:40,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,MOW,UCT,,,D2333,02.04.2025 12:40,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
