cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
D2,UCT,MOW,,,D2332,06.03.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,08.03.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,09.03.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,11.03.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,13.03.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,15.03.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,18.03.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,20.03.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,23.03.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,25.03.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,27.03.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,29.03.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,30.03.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,01.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,02.04.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,03.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,05.04.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,06.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,09.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,10.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,12.04.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,13.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,15.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,16.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,19.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,22.04.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,23.04.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,24.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,26.04.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,27.04.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,29.04.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,01.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,04.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,06.05.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,07.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,08.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,11.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,13.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,14.05.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,15.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,17.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,18.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,21.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,22.05.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,24.05.2025 09:50,,,,,12300.0,12300.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,25.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,27.05.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,28.05.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,29.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,31.05.2025 09:50,,,,,11200.0,11200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
D2,UCT,MOW,,,D2332,03.06.2025 09:50,,,,,8200.0,8200.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
