cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
D2,AER,MOW,,,D2364,11.03.2025 15:55,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,11.03.2025 15:55,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,18.03.2025 15:55,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,18.03.2025 15:55,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,05.04.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,05.04.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,12.04.2025 11:00,,,,,34000.0,34000.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,12.04.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,19.04.2025 11:00,,,,,34000.0,34000.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,19.04.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,03.05.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,03.05.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,10.05.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,17.05.2025 11:00,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,17.05.2025 11:00,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,24.05.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,AER,MOW,,,D2364,24.05.2025 11:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
