cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
D2,MOW,AER,,,D2154,10.03.2025 21:40,,,,,28400.0,28400.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2152,11.03.2025 09:30,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2154,17.03.2025 21:40,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2152,18.03.2025 09:30,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2152,25.03.2025 09:30,,,,,23800.0,23800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2152,04.04.2025 09:30,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2154,04.04.2025 21:55,,,,,34000.0,34000.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2158,04.04.2025 23:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2154,11.04.2025 21:55,,,,,34000.0,34000.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
D2,MOW,AER,,,D2158,11.04.2025 23:00,,,,,28800.0,28800.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,CEE,,,,
