cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
DP,DXB,MOW,,,DP992,06.03.2025 15:30,,,,,7350.0,7350.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,06.03.2025 17:30,,,,,7350.0,7350.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,07.03.2025 17:30,,,,,7350.0,7350.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,07.03.2025 15:30,,,,,8330.0,8330.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,08.03.2025 15:30,,,,,8330.0,8330.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,08.03.2025 17:30,,,,,8330.0,8330.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,09.03.2025 14:15,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP772,09.03.2025 16:20,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,09.03.2025 17:20,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,10.03.2025 14:35,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP1794,10.03.2025 20:00,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,11.03.2025 15:30,,,,,12495.0,12495.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,11.03.2025 17:30,,,,,12495.0,12495.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,12.03.2025 15:05,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP772,12.03.2025 16:20,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,12.03.2025 17:20,,,,,11270.0,11270.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,13.03.2025 15:30,,,,,13475.0,13475.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,13.03.2025 17:30,,,,,13475.0,13475.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,14.03.2025 17:30,,,,,13475.0,13475.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,14.03.2025 14:55,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,15.03.2025 17:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,15.03.2025 15:30,,,,,21070.0,21070.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,16.03.2025 15:05,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP772,16.03.2025 16:20,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,16.03.2025 17:20,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,17.03.2025 14:35,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP1794,17.03.2025 20:00,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,18.03.2025 15:30,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,18.03.2025 17:30,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP772,19.03.2025 16:20,,,,,13475.0,13475.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,19.03.2025 15:30,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,19.03.2025 17:20,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,20.03.2025 15:30,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,20.03.2025 17:30,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,21.03.2025 17:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,21.03.2025 15:30,,,,,21070.0,21070.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,22.03.2025 17:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,22.03.2025 15:30,,,,,21070.0,21070.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP772,23.03.2025 16:20,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,23.03.2025 15:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,23.03.2025 17:20,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP772,24.03.2025 16:20,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP1794,24.03.2025 20:00,,,,,15190.0,15190.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,24.03.2025 14:35,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,25.03.2025 15:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,25.03.2025 17:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP794,26.03.2025 17:20,,,,,16905.0,16905.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
DP,DXB,MOW,,,DP992,26.03.2025 15:30,,,,,18620.0,18620.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,flypobeda.ru
