cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
F7,AER,MOW,,,F7306,07.03.2025 11:10,,,,,4912.0,4912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,08.03.2025 11:10,,,,,4912.0,4912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,09.03.2025 11:10,,,,,9612.0,9612.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,10.03.2025 11:10,,,,,8812.0,8812.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,16.03.2025 11:10,,,,,10612.0,10612.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,17.03.2025 11:10,,,,,8012.0,8012.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,21.03.2025 11:10,,,,,6912.0,6912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,22.03.2025 11:10,,,,,6912.0,6912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,23.03.2025 11:10,,,,,9612.0,9612.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,24.03.2025 11:10,,,,,8012.0,8012.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,28.03.2025 11:10,,,,,8812.0,8812.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
F7,AER,MOW,,,F7306,29.03.2025 11:10,,,,,18412.0,18412.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
