cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
F7,MOW,AER,,,F7305,07.03.2025 06:00,,,,,9612.0,9612.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,09.03.2025 06:00,,,,,4912.0,4912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,10.03.2025 06:00,,,,,5912.0,5912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,14.03.2025 06:00,,,,,5912.0,5912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,15.03.2025 06:00,,,,,6912.0,6912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,16.03.2025 06:00,,,,,5912.0,5912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,17.03.2025 06:00,,,,,5912.0,5912.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,22.03.2025 06:00,,,,,8012.0,8012.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,24.03.2025 06:00,,,,,8012.0,8012.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
F7,MOW,AER,,,F7305,29.03.2025 06:00,,,,,8812.0,8812.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
