cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
HH,DME,TAS,,,HH702,05.03.2025 19:10,,,,,1254300.0,1254300.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH716,09.03.2025 03:30,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH718,09.03.2025 18:20,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH702,10.03.2025 20:00,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH708,11.03.2025 20:40,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH702,12.03.2025 19:10,,,,,1254300.0,1254300.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH716,16.03.2025 03:30,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH718,16.03.2025 18:20,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH702,17.03.2025 20:00,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH708,18.03.2025 20:40,,,,,1254300.0,1254300.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH702,19.03.2025 19:10,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH718,23.03.2025 18:20,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH716,23.03.2025 03:30,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH702,24.03.2025 20:00,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH708,25.03.2025 20:40,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH702,26.03.2025 19:10,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,DME,TAS,,,HH718,27.03.2025 06:00,,,,,891172.0,891172.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
