cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
HH,TAS,DME,,,HH717,09.03.2025 14:30,,,,,2751391.0,2751391.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,10.03.2025 04:40,,,,,2751391.0,2751391.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,11.03.2025 04:40,,,,,2751391.0,2751391.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,12.03.2025 04:20,,,,,2643798.0,2643798.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,16.03.2025 14:30,,,,,2643798.0,2643798.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,17.03.2025 04:40,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,18.03.2025 04:40,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,19.03.2025 04:20,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,23.03.2025 14:30,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,24.03.2025 04:40,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,25.03.2025 04:40,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,26.03.2025 04:20,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,27.03.2025 02:10,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,31.03.2025 04:10,,,,,2415161.0,2415161.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,01.04.2025 03:10,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,02.04.2025 02:40,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,03.04.2025 19:30,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,03.04.2025 05:50,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,04.04.2025 06:50,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,06.04.2025 04:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,06.04.2025 14:30,,,,,2253771.0,2253771.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,07.04.2025 21:20,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,07.04.2025 04:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,08.04.2025 03:10,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,09.04.2025 02:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,10.04.2025 05:50,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,10.04.2025 19:30,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,12.04.2025 06:00,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,13.04.2025 04:40,,,,,2226872.0,2226872.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,13.04.2025 14:30,,,,,2253771.0,2253771.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,15.04.2025 03:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,16.04.2025 02:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,17.04.2025 19:30,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,17.04.2025 05:50,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,18.04.2025 06:50,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,19.04.2025 06:00,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,20.04.2025 04:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,20.04.2025 14:30,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,21.04.2025 21:20,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,21.04.2025 04:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,22.04.2025 03:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,23.04.2025 02:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,24.04.2025 05:50,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,24.04.2025 19:30,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,26.04.2025 06:00,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,27.04.2025 04:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,27.04.2025 14:30,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,28.04.2025 04:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,28.04.2025 21:20,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,29.04.2025 03:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,30.04.2025 02:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,01.05.2025 05:50,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,01.05.2025 19:30,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,02.05.2025 06:50,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,03.05.2025 06:00,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH717,04.05.2025 14:30,,,,,2253771.0,2253771.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,04.05.2025 04:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,05.05.2025 04:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH715,05.05.2025 21:20,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH707,06.05.2025 03:10,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
HH,TAS,DME,,,HH701,07.05.2025 02:40,,,,,2105830.0,2105830.0,0.0,UZS,OW,,,,,,,,,05.03.2025 13:00,,,,,,,
