cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
N4,AER,MOW,,,N4411,06.03.2025 19:15,,,,,3897.0,3897.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4455,06.03.2025 16:15,,,,,5812.0,5812.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,LED,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4431,06.03.2025 12:45,,,,,12135.0,12135.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,REN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N46501,07.03.2025 11:30,,,,,3327.0,3327.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,07.03.2025 16:50,,,,,6177.0,6177.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4455,08.03.2025 16:30,,,,,11452.0,11452.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,LED,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4455,08.03.2025 16:30,,,,,11512.0,11512.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,LED,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4431,08.03.2025 12:45,,,,,15515.0,15515.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,REN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,09.03.2025 16:50,,,,,23477.0,23477.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,10.03.2025 16:50,,,,,14047.0,14047.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4431,11.03.2025 12:45,,,,,16675.0,16675.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,REN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,12.03.2025 16:50,,,,,8547.0,8547.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4455,12.03.2025 14:25,,,,,12112.0,12112.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,LED,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4431,13.03.2025 12:45,,,,,11335.0,11335.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,REN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,13.03.2025 19:15,,,,,11797.0,11797.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,14.03.2025 16:50,,,,,13397.0,13397.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4455,15.03.2025 16:30,,,,,12482.0,12482.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,LED,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4431,15.03.2025 12:45,,,,,13735.0,13735.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,REN,,Y,,nordwindairlines.ru
N4,AER,MOW,,,N4411,16.03.2025 16:50,,,,,18267.0,18267.0,0.0,RUB,OW,,,,,,,,,05.03.2025 13:00,,,KZN,,Y,,nordwindairlines.ru
