cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
SZ,DYU,MOW,,,SZ231,05.03.2025 21:40,,,,,272.0,272.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,05.03.2025 19:30,,,,,290.0,290.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,07.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,07.03.2025 19:30,,,,,290.0,290.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,07.03.2025 20:40,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,09.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,09.03.2025 19:30,,,,,290.0,290.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,10.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,10.03.2025 08:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,10.03.2025 23:30,,,,,300.0,300.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,12.03.2025 21:40,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,12.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,12.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,13.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,13.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,14.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,14.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,14.03.2025 20:40,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,15.03.2025 21:40,,,,,338.0,338.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,15.03.2025 19:00,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,15.03.2025 08:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,16.03.2025 08:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,16.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,19.03.2025 21:40,,,,,300.0,300.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,19.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,19.03.2025 08:00,,,,,300.0,300.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,20.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,20.03.2025 08:00,,,,,300.0,300.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,21.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,21.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,21.03.2025 20:40,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,22.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,22.03.2025 21:40,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,22.03.2025 19:00,,,,,290.0,290.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,23.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,23.03.2025 19:30,,,,,290.0,290.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ337,25.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,25.03.2025 20:50,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,25.03.2025 19:30,,,,,272.0,272.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,26.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,26.03.2025 21:40,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,26.03.2025 19:30,,,,,272.0,272.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,28.03.2025 20:40,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,28.03.2025 19:30,,,,,272.0,272.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,28.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,29.03.2025 08:00,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,29.03.2025 21:40,,,,,289.0,289.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,29.03.2025 19:00,,,,,272.0,272.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,30.03.2025 19:30,,,,,290.0,290.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,31.03.2025 23:00,,,,,300.0,300.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,31.03.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,01.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,01.04.2025 21:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,02.04.2025 21:40,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,02.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,03.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,04.04.2025 21:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,04.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,05.04.2025 21:40,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,05.04.2025 19:00,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,06.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,07.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,07.04.2025 23:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,09.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,09.04.2025 21:40,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,12.04.2025 21:40,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,12.04.2025 19:00,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,13.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,14.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ231,14.04.2025 23:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ201,15.04.2025 19:30,,,,,310.0,310.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,DYU,MOW,,,SZ331,15.04.2025 21:00,,,,,319.0,319.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
