cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
SZ,MOW,DYU,,,SZ202,05.03.2025 23:30,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,06.03.2025 01:40,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,06.03.2025 12:00,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,06.03.2025 23:30,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,07.03.2025 12:00,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,07.03.2025 23:30,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,08.03.2025 23:00,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,08.03.2025 00:50,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,08.03.2025 12:00,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,09.03.2025 12:00,,,,,120.0,120.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,09.03.2025 01:40,,,,,110.0,110.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,09.03.2025 23:30,,,,,130.0,130.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,10.03.2025 12:00,,,,,120.0,120.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,10.03.2025 23:30,,,,,130.0,130.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,11.03.2025 23:30,,,,,130.0,130.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,11.03.2025 03:30,,,,,120.0,120.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ338,11.03.2025 12:00,,,,,120.0,120.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,12.03.2025 12:00,,,,,120.0,120.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,12.03.2025 23:30,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,12.03.2025 00:40,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,13.03.2025 23:30,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,13.03.2025 01:40,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,13.03.2025 12:00,,,,,120.0,120.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,14.03.2025 23:30,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,14.03.2025 12:00,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,15.03.2025 00:50,,,,,155.0,155.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,15.03.2025 12:00,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,15.03.2025 23:00,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,16.03.2025 01:40,,,,,155.0,155.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,16.03.2025 23:30,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,16.03.2025 12:00,,,,,155.0,155.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,17.03.2025 23:30,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,17.03.2025 12:00,,,,,170.0,170.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ338,18.03.2025 12:00,,,,,155.0,155.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ202,18.03.2025 23:30,,,,,155.0,155.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,18.03.2025 03:30,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ232,19.03.2025 00:40,,,,,155.0,155.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
SZ,MOW,DYU,,,SZ332,19.03.2025 12:00,,,,,140.0,140.0,0.0,EUR,OW,,,,,,,,,05.03.2025 13:00,,,0,,,,
