cxr,orig atp,dest apt,first fcc,last fcc,first flt#,first flt date,last flt#,last flt date,season,comp,amt,inclusive,tax,cur,fty,advpur,minstay,maxstay,first ticket,last ticket,first travel,last travel,penalty,shapshot,type,pos,outbound_travel_stop_over,homebound_travel_stop_over,out_booking_class,home_booking_class,source
Y7,MOW,AER,,,Y71031,07.03.2025 11:50,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,10.03.2025 11:20,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,12.03.2025 11:20,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,14.03.2025 11:50,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,17.03.2025 11:20,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,19.03.2025 11:20,,,,,6935.0,6935.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,21.03.2025 11:50,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,23.03.2025 11:50,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,24.03.2025 11:20,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,26.03.2025 11:20,,,,,9635.0,9635.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,28.03.2025 11:50,,,,,8235.0,8235.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,02.04.2025 11:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,06.04.2025 11:25,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,09.04.2025 11:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,13.04.2025 11:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,16.04.2025 11:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,19.04.2025 11:35,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,23.04.2025 11:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y7402,27.04.2025 11:25,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,01.05.2025 14:25,,,,,16685.0,16685.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,05.05.2025 14:25,,,,,6885.0,6885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,08.05.2025 14:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,12.05.2025 14:25,,,,,6885.0,6885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,15.05.2025 14:25,,,,,8185.0,8185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,19.05.2025 14:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,22.05.2025 14:25,,,,,9325.0,9325.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,29.05.2025 14:25,,,,,11185.0,11185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,31.05.2025 14:25,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,01.06.2025 12:15,,,,,14885.0,14885.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
Y7,MOW,AER,,,Y71031,02.06.2025 14:25,,,,,13185.0,13185.0,0.0,RUB,OW,,,,,,,,,05.03.2025 01:00,,,0,,,,
